invoice_id,contract_id,customer_id,customer_name,invoice_date,billing_period,currency,quantity,unit_price,discount,tax,total_amount,reference_number
INV-1001,CTR-1001,CUST-201,Nexus Cloud Technologies Inc.,2025-01-15,2025-01,USD,106,100.0,1060.0,0.0,9540.0,PO-1001-M01
INV-1002,CTR-1001,CUST-201,Nexus Cloud Technologies Inc.,2025-02-15,2025-02,USD,104,100.0,1040.0,0.0,9360.0,PO-1001-M02
INV-1003,CTR-1001,CUST-201,Nexus Cloud Technologies Inc.,2025-03-15,2025-03,USD,102,100.0,1020.0,0.0,9180.0,PO-1001-M03
INV-1004,CTR-1001,CUST-201,Nexus Cloud Technologies Inc.,2025-04-15,2025-04,USD,100,100.0,1000.0,0.0,9000.0,PO-1001-M04
INV-1005,CTR-1001,CUST-201,Nexus Cloud Technologies Inc.,2025-05-15,2025-05,USD,98,100.0,980.0,0.0,8820.0,PO-1001-M05
INV-1006,CTR-1001,CUST-201,Nexus Cloud Technologies Inc.,2025-06-15,2025-06,USD,96,100.0,960.0,0.0,8640.0,PO-1001-M06
INV-1007,CTR-1001,CUST-201,Nexus Cloud Technologies Inc.,2025-07-15,2025-07,USD,94,100.0,940.0,0.0,8460.0,PO-1001-M07
INV-1008,CTR-1002,CUST-202,Meridian Logistics Corp,2025-01-15,2025-01,USD,44,150.0,0.0,0.0,6600.0,PO-1002-M01
INV-1009,CTR-1002,CUST-202,Meridian Logistics Corp,2025-02-15,2025-02,USD,55,150.0,0.0,0.0,8250.0,PO-1002-M02
INV-1010,CTR-1002,CUST-202,Meridian Logistics Corp,2025-03-15,2025-03,USD,53,150.0,0.0,0.0,7950.0,PO-1002-M03
INV-1011,CTR-1002,CUST-202,Meridian Logistics Corp,2025-04-15,2025-04,USD,51,150.0,0.0,0.0,7650.0,PO-1002-M04
INV-1012,CTR-1002,CUST-202,Meridian Logistics Corp,2025-05-15,2025-05,USD,49,150.0,0.0,0.0,7350.0,PO-1002-M05
INV-1013,CTR-1002,CUST-202,Meridian Logistics Corp,2025-06-15,2025-06,USD,47,150.0,0.0,0.0,7050.0,PO-1002-M06
INV-1014,CTR-1002,CUST-202,Meridian Logistics Corp,2025-07-15,2025-07,USD,45,150.0,0.0,0.0,6750.0,PO-1002-M07
INV-1015,CTR-1003,CUST-203,Apex Health Solutions LLC,2025-01-15,2025-01,USD,1,18000.0,900.0,0.0,17100.0,PO-1003-M01
INV-1016,CTR-1003,CUST-203,Apex Health Solutions LLC,2025-02-15,2025-02,USD,1,18000.0,900.0,0.0,17100.0,PO-1003-M02
INV-1017,CTR-1003,CUST-203,Apex Health Solutions LLC,2025-03-15,2025-03,USD,1,18000.0,900.0,0.0,17100.0,PO-1003-M03
INV-1018,CTR-1003,CUST-203,Apex Health Solutions LLC,2025-04-15,2025-04,USD,1,18000.0,900.0,0.0,17100.0,PO-1003-M04
INV-1019,CTR-1003,CUST-203,Apex Health Solutions LLC,2025-05-15,2025-05,USD,1,18000.0,900.0,0.0,17100.0,PO-1003-M05
INV-1020,CTR-1003,CUST-203,Apex Health Solutions LLC,2025-06-15,2025-06,USD,1,18000.0,900.0,0.0,17100.0,PO-1003-M06
INV-1021,CTR-1003,CUST-203,Apex Health Solutions LLC,2025-07-15,2025-07,USD,1,18000.0,900.0,0.0,17100.0,PO-1003-M07
INV-1022,CTR-1004,CUST-204,Vortex Media Global,2025-01-15,2025-01,EUR,1,12500.0,0.0,0.0,12500.0,PO-1004-M01
INV-1023,CTR-1004,CUST-204,Vortex Media Global,2025-02-15,2025-02,EUR,1,12500.0,0.0,0.0,12500.0,PO-1004-M02
INV-1024,CTR-1004,CUST-204,Vortex Media Global,2025-03-15,2025-03,EUR,1,12500.0,0.0,0.0,12500.0,PO-1004-M03
INV-1025,CTR-1004,CUST-204,Vortex Media Global,2025-04-15,2025-04,EUR,1,12500.0,0.0,0.0,12500.0,PO-1004-M04
INV-1026,CTR-1004,CUST-204,Vortex Media Global,2025-05-15,2025-05,EUR,1,12500.0,0.0,0.0,12500.0,PO-1004-M05
INV-1027,CTR-1004,CUST-204,Vortex Media Global,2025-06-15,2025-06,EUR,1,12500.0,0.0,0.0,12500.0,PO-1004-M06
INV-1028,CTR-1004,CUST-204,Vortex Media Global,2025-07-15,2025-07,EUR,1,12500.0,0.0,0.0,12500.0,PO-1004-M07
INV-1029,CTR-1005,CUST-205,Horizon Financial Partners,2025-01-15,2025-01,USD,17,1200.0,3060.0,0.0,17340.0,PO-1005-M01
INV-1030,CTR-1005,CUST-205,Horizon Financial Partners,2025-02-15,2025-02,USD,15,1200.0,2700.0,0.0,15300.0,PO-1005-M02
INV-1031,CTR-1005,CUST-205,Horizon Financial Partners,2025-03-15,2025-03,USD,26,1200.0,4680.0,0.0,26520.0,PO-1005-M03
INV-1032,CTR-1005,CUST-205,Horizon Financial Partners,2025-04-15,2025-04,USD,24,1200.0,4320.0,0.0,24480.0,PO-1005-M04
INV-1033,CTR-1005,CUST-205,Horizon Financial Partners,2025-05-15,2025-05,USD,22,1200.0,3960.0,0.0,22440.0,PO-1005-M05
INV-1034,CTR-1005,CUST-205,Horizon Financial Partners,2025-06-15,2025-06,USD,20,1200.0,3600.0,0.0,20400.0,PO-1005-M06
INV-1035,CTR-1005,CUST-205,Horizon Financial Partners,2025-07-15,2025-07,USD,18,1200.0,3240.0,0.0,18360.0,PO-1005-M07
INV-1036,CTR-1006,CUST-206,Zenith Retail Systems Ltd,2025-01-15,2025-01,USD,248,40.0,0.0,0.0,9920.0,PO-1006-M01
INV-1037,CTR-1006,CUST-206,Zenith Retail Systems Ltd,2025-02-15,2025-02,USD,246,40.0,0.0,0.0,9840.0,PO-1006-M02
INV-1038,CTR-1006,CUST-206,Zenith Retail Systems Ltd,2025-03-15,2025-03,USD,244,40.0,0.0,0.0,9760.0,PO-1006-M03
INV-1039,CTR-1006,CUST-206,Zenith Retail Systems Ltd,2025-04-15,2025-04,USD,255,40.0,0.0,0.0,10200.0,PO-1006-M04
INV-1040,CTR-1006,CUST-206,Zenith Retail Systems Ltd,2025-05-15,2025-05,USD,253,40.0,0.0,0.0,10120.0,PO-1006-M05
INV-1041,CTR-1006,CUST-206,Zenith Retail Systems Ltd,2025-06-15,2025-06,USD,251,40.0,0.0,0.0,10040.0,PO-1006-M06
INV-1042,CTR-1006,CUST-206,Zenith Retail Systems Ltd,2025-07-15,2025-07,USD,249,40.0,0.0,0.0,9960.0,PO-1006-M07
INV-1043,CTR-1007,CUST-207,Bharat Data Analytics Pvt Ltd,2025-01-15,2025-01,INR,1,500000.0,50000.0,0.0,450000.0,PO-1007-M01
INV-1044,CTR-1007,CUST-207,Bharat Data Analytics Pvt Ltd,2025-02-15,2025-02,INR,1,500000.0,50000.0,0.0,450000.0,PO-1007-M02
INV-1045,CTR-1007,CUST-207,Bharat Data Analytics Pvt Ltd,2025-03-15,2025-03,INR,1,500000.0,50000.0,0.0,450000.0,PO-1007-M03
INV-1046,CTR-1007,CUST-207,Bharat Data Analytics Pvt Ltd,2025-04-15,2025-04,INR,1,500000.0,50000.0,0.0,450000.0,PO-1007-M04
INV-1047,CTR-1007,CUST-207,Bharat Data Analytics Pvt Ltd,2025-05-15,2025-05,INR,1,500000.0,50000.0,0.0,450000.0,PO-1007-M05
INV-1048,CTR-1007,CUST-207,Bharat Data Analytics Pvt Ltd,2025-06-15,2025-06,INR,1,500000.0,50000.0,0.0,450000.0,PO-1007-M06
INV-1049,CTR-1007,CUST-207,Bharat Data Analytics Pvt Ltd,2025-07-15,2025-07,INR,1,500000.0,50000.0,0.0,450000.0,PO-1007-M07
INV-1050,CTR-1008,CUST-208,Starlight Cyber Defense Corp,2025-01-15,2025-01,USD,1,14000.0,0.0,0.0,14000.0,PO-1008-M01
INV-1051,CTR-1008,CUST-208,Starlight Cyber Defense Corp,2025-02-15,2025-02,USD,1,14000.0,0.0,0.0,14000.0,PO-1008-M02
INV-1052,CTR-1008,CUST-208,Starlight Cyber Defense Corp,2025-03-15,2025-03,USD,1,14000.0,0.0,0.0,14000.0,PO-1008-M03
